                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.73221,                0.46784,                0.99242,                0.94149,                0.83973,                0.90288,                0.63692,                 1.1081,                0.61599,                 1.1937,             0.00029844,             0.00029844,             0.00029844
                    112,                  0.716,                 0.4581,                0.98561,                0.97508,                0.81264,                   0.92,                0.64263,                 1.1165,                0.61949,                 1.2068,             0.00028297,             0.00028297,             0.00028297
                    113,                0.72661,                0.46577,                0.99009,                0.95684,                0.81941,                0.91241,                0.64999,                 1.0992,                0.62548,                 1.2032,              0.0002675,              0.0002675,              0.0002675
                    114,                0.73295,                0.46205,                0.99111,                0.94102,                0.82393,                 0.8995,                0.64245,                 1.1041,                0.67515,                 1.1886,             0.00025203,             0.00025203,             0.00025203
                    115,                0.70344,                0.44945,                0.98223,                0.97538,                0.80361,                0.91075,                0.64648,                 1.1024,                0.63789,                 1.1995,             0.00023656,             0.00023656,             0.00023656
                    116,                0.72023,                0.46063,                0.98409,                0.94282,                 0.8307,                 0.9064,                0.64611,                 1.1023,                0.62244,                 1.1962,             0.00022109,             0.00022109,             0.00022109
                    117,                0.70393,                0.44859,                0.98073,                0.94204,                 0.8149,                0.90233,                0.64105,                 1.1095,                0.64453,                 1.2153,             0.00020562,             0.00020562,             0.00020562
                    118,                0.70855,                0.45512,                0.98345,                0.92606,                0.81991,                0.90537,                0.64346,                  1.122,                0.62562,                 1.2267,             0.00019016,             0.00019016,             0.00019016
                    119,                 0.7021,                0.45224,                0.98072,                0.94031,                0.82619,                0.91191,                0.64876,                 1.1032,                0.63014,                 1.2011,             0.00017469,             0.00017469,             0.00017469
                    120,                0.70139,                0.45016,                0.97931,                0.94455,                0.82619,                0.91417,                0.65622,                 1.1099,                0.62647,                 1.2115,             0.00015922,             0.00015922,             0.00015922
                    121,                0.69721,                0.44065,                0.97845,                0.94106,                0.81941,                0.91286,                0.65024,                 1.0951,                0.63699,                 1.1957,             0.00014375,             0.00014375,             0.00014375
                    122,                0.70365,                0.44909,                0.98119,                0.95545,                0.81038,                0.91046,                0.65227,                 1.0984,                0.63182,                 1.1931,             0.00012828,             0.00012828,             0.00012828
                    123,                0.70366,                0.45046,                 0.9827,                0.94236,                0.82393,                0.91093,                0.65162,                 1.0999,                0.63765,                 1.1998,             0.00011281,             0.00011281,             0.00011281
                    124,                0.68867,                0.44137,                0.97674,                0.95196,                0.82844,                0.91072,                0.65097,                 1.0987,                 0.6411,                 1.1984,             9.7344e-05,             9.7344e-05,             9.7344e-05
                    125,                0.69747,                0.44204,                0.98059,                0.95889,                0.81264,                0.91029,                0.64891,                 1.1043,                0.64264,                    1.2,             8.1875e-05,             8.1875e-05,             8.1875e-05
                    126,                0.68623,                0.43519,                0.97434,                0.94319,                0.82167,                0.91224,                0.65089,                 1.0996,                0.65007,                  1.193,             6.6406e-05,             6.6406e-05,             6.6406e-05
                    127,                0.68342,                0.43816,                0.97566,                0.95488,                0.81215,                0.91088,                0.64969,                 1.1038,                0.64574,                 1.1968,             5.0937e-05,             5.0937e-05,             5.0937e-05
